Country.Code;Country;GLORIA_region;GLORIA_acronyms;GLORIA_code
1;Armenia;Armenia;ARM;10
2;Afghanistan;Afghanistan;AFG;5
3;Albania;Albania;ALB;7
4;Algeria;Algeria;DZA;49
7;Angola;Angola;AGO;6
8;Antigua and Barbuda;Rest of Americas;XAM;1
9;Argentina;Argentina;ARG;9
10;Australia;Australia;AUS;11
11;Austria;Austria;AUT;12
12;Bahamas;Bahamas;BHS;21
13;Bahrain;Bahrain;BHR;20
14;Barbados;Rest of Americas;XAM;1
15;Belgium-Luxembourg;NA;NA;165
16;Bangladesh;Bangladesh;BGD;18
18;Bhutan;Bhutan;BTN;28
19;Bolivia (Plurinational State of);Bolivia;BOL;25
20;Botswana;Botswana;BWA;29
21;Brazil;Brazil;BRA;26
23;Belize;Belize;BLZ;24
25;Solomon Islands;Rest of Asia-Pacific;XAS;4
26;Brunei Darussalam;Brunei Darussalam;BRN;27
27;Bulgaria;Bulgaria;BGR;19
28;Myanmar;Myanmar;MMR;104
29;Burundi;Burundi;BDI;14
32;Cameroon;Cameroon;CMR;36
33;Canada;Canada;CAN;31
35;Cabo Verde;Rest of Africa;XAF;3
37;Central African Republic;Central African Republic;CAF;30
38;Sri Lanka;Sri Lanka;LKA;93
39;Chad;Chad;TCD;146
40;Chile;Chile;CHL;33
41;"China; mainland";China;CHN;34
44;Colombia;Colombia;COL;39
46;Congo;Rep Congo;COG;38
48;Costa Rica;Costa Rica;CRI;40
49;Cuba;Cuba;CUB;41
50;Cyprus;Cyprus;CYP;42
51;Czechoslovakia;NA;NA;165
52;Azerbaijan;Azerbaijan;AZE;13
53;Benin;Benin;BEN;16
54;Denmark;Denmark;DNK;47
55;Dominica;Rest of Americas;XAM;1
56;Dominican Republic;Dominican Republic;DOM;48
57;Belarus;Belarus;BLR;23
58;Ecuador;Ecuador;ECU;50
59;Egypt;Egypt;EGY;51
60;El Salvador;El Salvador;SLV;138
61;Equatorial Guinea;Equatorial Guinea;GNQ;64
63;Estonia;Estonia;EST;54
