Com.Code,FAO.Name,Com.Group,Total,Growing wheat,Growing maize,Growing cereals n.e.c,Growing leguminous crops and oil seeds,Growing rice,"Growing vegetables, roots, tubers",Growing sugar beet and cane,Growing tobacco,Growing fibre crops,Growing crops n.e.c.,Growing grapes,Growing fruits and nuts,"Growing beverage crops (coffee, tea etc)","Growing spices, aromatic, drug and pharmaceutical crops",Seeds and plant propagation,Raising of cattle,Raising of sheep,Raising of swine/pigs,Raising of poultry,Raising of animals n.e.c.; services to agriculture,Forestry and logging,Fishing,Crustaceans and molluscs,Hard coal,Lignite and peat,Petroleum extraction,Gas extraction,Iron ores,Uranium ores,Aluminium ore,Copper ores,Gold ores,Lead/zinc/silver ores,Nickel ores,Tin ores,Other non-ferrous ores,"Quarrying of stone, sand and clay",Chemical and fertilizer minerals,Extraction of salt,Mining and quarrying n.e.c.; services to mining,Beef meat,Sheep meat,Pork,Poultry meat,Other meat products,Fish products,Cereal products,Vegetable products,Fruit products,Food products and feeds n.e.c.,"Sugar refining; cocoa, chocolate and confectionery",Animal oils and fats,Vegetable oils and fats,Dairy products,Alcoholic and other  beverages,Tobacco products,Textiles and clothing,Leather and footwear,Sawmill products,Pulp and paper,Printing,Coke oven products,Refined petroleum products,Nitrogenous fertilizers,Non-nitrogenous and mixed fertilizers,Basic petrochemical products,Basic inorganic chemicals,Basic organic chemicals,Pharmaceuticals and medicinal products,"Dyes, paints, glues, detergents and other chemical products",Rubber products,Plastic products,Clay building materials,Other ceramics n.e.c.,"Cement, lime and plaster products",Other non-metallic mineral products n.e.c.,Basic iron and steel,Basic aluminium,Basic Copper,Basic Gold,Basic lead/zinc/silver,Basic nickel,Basic tin,Basic non-ferrous metals n.e.c.,Fabricated metal products,Machinery and equipment,"Motor vehicles, trailers and semi-trailers",Other transport equipment,Repair and installation of machinery and equipment,Computers; electronic products; optical and precision instruments,Electrical equipment,Furniture and other manufacturing n.e.c,"Electric power generation, transmission and distribution",Distribution of gaseous fuels through mains,"Water collection, treatment and supply; sewerage","Waste collection, treatment, and disposal",Materials recovery,Building construction,Civil engineering construction,Wholesale and retail trade; repair of motor vehicles and motorcycles,Road transport,Rail transport,Transport via pipeline,Water transport,Air transport,Services to transport,Postal and courier services,Hospitality,Publishing,Telecommunications,Information services,Finance and insurance,Property and real estate,"Professional, scientific and technical services",Administrative services,Government; social security; defence; public order,Education,Human health and social work activities,"Arts, entertainment and recreation",Other services
c001,Rice and products,Cereals,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c002,Wheat and products,Cereals,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c003,Barley and products,Cereals,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c004,Maize and products,Cereals,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c005,Rye and products,Cereals,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c006,Oats,Cereals,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c007,Millet and products,Cereals,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c008,Sorghum and products,Cereals,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c009,"Cereals, Other",Cereals,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c010,Potatoes and products,Roots and tubers,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
