area_code,area,item_code,item,comm_code,comm_group,group
1,Armenia,2807,Rice and products,c001,Cereals,Primary crops
1,Armenia,2511,Wheat and products,c002,Cereals,Primary crops
1,Armenia,2513,Barley and products,c003,Cereals,Primary crops
1,Armenia,2514,Maize and products,c004,Cereals,Primary crops
1,Armenia,2515,Rye and products,c005,Cereals,Primary crops
1,Armenia,2516,Oats,c006,Cereals,Primary crops
1,Armenia,2517,Millet and products,c007,Cereals,Primary crops
1,Armenia,2518,Sorghum and products,c008,Cereals,Primary crops
1,Armenia,2520,"Cereals, Other",c009,Cereals,Primary crops
1,Armenia,2531,Potatoes and products,c010,Roots and tubers,Primary crops
1,Armenia,2532,Cassava and products,c011,Roots and tubers,Primary crops
1,Armenia,2533,Sweet potatoes,c012,Roots and tubers,Primary crops
1,Armenia,2534,"Roots, Other",c013,Roots and tubers,Primary crops
1,Armenia,2535,Yams,c014,Roots and tubers,Primary crops
1,Armenia,2536,Sugar cane,c015,Sugar crops,Primary crops
1,Armenia,2537,Sugar beet,c016,Sugar crops,Primary crops
1,Armenia,2546,Beans,c017,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2547,Peas,c018,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2549,"Pulses, Other and products",c019,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2551,Nuts and products,c020,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2555,Soyabeans,c021,Oil crops,Primary crops
1,Armenia,2552,Groundnuts,c022,Oil crops,Primary crops
1,Armenia,2557,Sunflower seed,c023,Oil crops,Primary crops
1,Armenia,2558,Rape and Mustardseed,c024,Oil crops,Primary crops
1,Armenia,328,Seed cotton,c025,Oil crops,Primary crops
1,Armenia,2560,Coconuts - Incl Copra,c026,Oil crops,Primary crops
1,Armenia,2561,Sesame seed,c027,Oil crops,Primary crops
1,Armenia,254,"Oil, palm fruit",c028,Oil crops,Primary crops
1,Armenia,2563,Olives (including preserved),c029,Oil crops,Primary crops
1,Armenia,2570,"Oilcrops, Other",c030,Oil crops,Primary crops
1,Armenia,2601,Tomatoes and products,c031,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2602,Onions,c032,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2605,"Vegetables, Other",c033,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2611,"Oranges, Mandarines",c034,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2612,"Lemons, Limes and products",c035,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2613,Grapefruit and products,c036,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2614,"Citrus, Other",c037,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2615,Bananas,c038,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2616,Plantains,c039,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2617,Apples and products,c040,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2618,Pineapples and products,c041,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2619,Dates,c042,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2620,Grapes and products (excl wine),c043,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2625,"Fruits, Other",c044,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2630,Coffee and products,c045,"Coffee, tea, cocoa",Primary crops
1,Armenia,2633,Cocoa Beans and products,c046,"Coffee, tea, cocoa",Primary crops
1,Armenia,2635,Tea (including mate),c047,"Coffee, tea, cocoa",Primary crops
1,Armenia,677,Hops,c048,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2640,Pepper,c049,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2641,Pimento,c050,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2642,Cloves,c051,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2645,"Spices, Other",c052,"Vegetables, fruit, nuts, pulses, spices",Primary crops
1,Armenia,2662,Jute,c053,Fibre crops,Primary crops
1,Armenia,2663,Jute-Like Fibres,c054,Fibre crops,Primary crops
1,Armenia,2664,"Soft-Fibres, Other",c055,Fibre crops,Primary crops
1,Armenia,2665,Sisal,c056,Fibre crops,Primary crops
1,Armenia,2666,Abaca,c057,Fibre crops,Primary crops
1,Armenia,2667,"Hard Fibres, Other",c058,Fibre crops,Primary crops
1,Armenia,2671,Tobacco,c059,"Tobacco, rubber",Primary crops
1,Armenia,2672,Rubber,c060,"Tobacco, rubber",Primary crops
1,Armenia,2000,Fodder crops,c061,Fodder crops,Primary crops
1,Armenia,2001,Grazing,c062,Grazing,Primary crops
1,Armenia,2559,Cottonseed,c063,Fibre crops,Crop products
1,Armenia,2562,Palm kernels,c064,Oil crops,Crop products
1,Armenia,2541,Sugar non-centrifugal,c065,"Sugar, sweeteners",Crop products
1,Armenia,2542,Sugar (Raw Equivalent),c066,"Sugar, sweeteners",Crop products
1,Armenia,2543,"Sweeteners, Other",c067,"Sugar, sweeteners",Crop products
1,Armenia,2571,Soyabean Oil,c068,Vegetable oils,Crop products
1,Armenia,2572,Groundnut Oil,c069,Vegetable oils,Crop products
1,Armenia,2573,Sunflowerseed Oil,c070,Vegetable oils,Crop products
1,Armenia,2574,Rape and Mustard Oil,c071,Vegetable oils,Crop products
1,Armenia,2575,Cottonseed Oil,c072,Vegetable oils,Crop products
1,Armenia,2576,Palmkernel Oil,c073,Vegetable oils,Crop products
1,Armenia,2577,Palm Oil,c074,Vegetable oils,Crop products
1,Armenia,2578,Coconut Oil,c075,Vegetable oils,Crop products
1,Armenia,2579,Sesameseed Oil,c076,Vegetable oils,Crop products
1,Armenia,2580,Olive Oil,c077,Vegetable oils,Crop products
1,Armenia,2581,Ricebran Oil,c078,Vegetable oils,Crop products
1,Armenia,2582,Maize Germ Oil,c079,Vegetable oils,Crop products
1,Armenia,2586,"Oilcrops Oil, Other",c080,Vegetable oils,Crop products
1,Armenia,2590,Soyabean Cake,c081,Oil cakes,Crop products
1,Armenia,2591,Groundnut Cake,c082,Oil cakes,Crop products
1,Armenia,2592,Sunflowerseed Cake,c083,Oil cakes,Crop products
1,Armenia,2593,Rape and Mustard Cake,c084,Oil cakes,Crop products
1,Armenia,2594,Cottonseed Cake,c085,Oil cakes,Crop products
1,Armenia,2595,Palmkernel Cake,c086,Oil cakes,Crop products
1,Armenia,2596,Copra Cake,c087,Oil cakes,Crop products
1,Armenia,2597,Sesameseed Cake,c088,Oil cakes,Crop products
1,Armenia,2598,"Oilseed Cakes, Other",c089,Oil cakes,Crop products
1,Armenia,2655,Wine,c090,Alcohol,Crop products
1,Armenia,2656,Beer,c091,Alcohol,Crop products
1,Armenia,2657,"Beverages, Fermented",c092,Alcohol,Crop products
