iso3c,area_code,area,region,EU27
ARM,1,Armenia,Former USSR,FALSE
AFG,2,Afghanistan,South Asia,FALSE
ALB,3,Albania,Eastern Europe,FALSE
DZA,4,Algeria,Northern Africa,FALSE
AGO,7,Angola,Southern Africa,FALSE
ATG,8,Antigua and Barbuda,Central America,FALSE
ARG,9,Argentina,South America,FALSE
AUS,10,Australia,Oceania,FALSE
AUT,11,Austria,OECD Europe,TRUE
BHS,12,Bahamas,Central America,FALSE
BHR,13,Bahrain,Middle East,FALSE
BRB,14,Barbados,Central America,FALSE
BLX,15,Belgium-Luxembourg,OECD Europe,TRUE
BGD,16,Bangladesh,South Asia,FALSE
BOL,19,Bolivia (Plurinational State of),South America,FALSE
BWA,20,Botswana,Southern Africa,FALSE
BRA,21,Brazil,South America,FALSE
BLZ,23,Belize,Central America,FALSE
SLB,25,Solomon Islands,Oceania,FALSE
BRN,26,Brunei Darussalam,South East Asia,FALSE
BGR,27,Bulgaria,Eastern Europe,TRUE
MMR,28,Myanmar,South East Asia,FALSE
BDI,29,Burundi,Eastern Africa,FALSE
CMR,32,Cameroon,Western Africa,FALSE
CAN,33,Canada,Canada,FALSE
CPV,35,Cabo Verde,Western Africa,FALSE
CAF,37,Central African Republic,Western Africa,FALSE
LKA,38,Sri Lanka,South Asia,FALSE
TCD,39,Chad,Western Africa,FALSE
CHL,40,Chile,South America,FALSE
CHN,41,"China, mainland",East Asia,FALSE
COL,44,Colombia,South America,FALSE
COG,46,Congo,Western Africa,FALSE
CRI,48,Costa Rica,Central America,FALSE
CUB,49,Cuba,Central America,FALSE
CYP,50,Cyprus,Middle East,TRUE
CSK,51,Czechoslovakia,OECD Europe,FALSE
AZE,52,Azerbaijan,Former USSR,FALSE
BEN,53,Benin,Western Africa,FALSE
DNK,54,Denmark,OECD Europe,TRUE
DMA,55,Dominica,Central America,FALSE
DOM,56,Dominican Republic,Central America,FALSE
BLR,57,Belarus,Former USSR,FALSE
ECU,58,Ecuador,South America,FALSE
EGY,59,Egypt,Northern Africa,FALSE
SLV,60,El Salvador,Central America,FALSE
EST,63,Estonia,Former USSR,TRUE
FJI,66,Fiji,Oceania,FALSE
FIN,67,Finland,OECD Europe,TRUE
FRA,68,France,OECD Europe,TRUE
PYF,70,French Polynesia,Oceania,FALSE
DJI,72,Djibouti,Eastern Africa,FALSE
GEO,73,Georgia,Former USSR,FALSE
GAB,74,Gabon,Western Africa,FALSE
GMB,75,Gambia,Western Africa,FALSE
DEU,79,Germany,OECD Europe,TRUE
BIH,80,Bosnia and Herzegovina,Eastern Europe,FALSE
GHA,81,Ghana,Western Africa,FALSE
KIR,83,Kiribati,Oceania,FALSE
GRC,84,Greece,OECD Europe,TRUE
GRD,86,Grenada,Central America,FALSE
GTM,89,Guatemala,Central America,FALSE
GIN,90,Guinea,Western Africa,FALSE
GUY,91,Guyana,South America,FALSE
HTI,93,Haiti,Central America,FALSE
HND,95,Honduras,Central America,FALSE
HKG,96,"China, Hong Kong SAR",East Asia,FALSE
HUN,97,Hungary,Eastern Europe,TRUE
HRV,98,Croatia,Eastern Europe,TRUE
ISL,99,Iceland,OECD Europe,FALSE
IND,100,India,South Asia,FALSE
IDN,101,Indonesia,South East Asia,FALSE
IRN,102,Iran (Islamic Republic of),Middle East,FALSE
IRQ,103,Iraq,Middle East,FALSE
IRL,104,Ireland,OECD Europe,TRUE
ISR,105,Israel,Middle East,FALSE
ITA,106,Italy,OECD Europe,TRUE
CIV,107,Côte d'Ivoire,Western Africa,FALSE
KAZ,108,Kazakhstan,Former USSR,FALSE
JAM,109,Jamaica,Central America,FALSE
JPN,110,Japan,Japan,FALSE
JOR,112,Jordan,Middle East,FALSE
KGZ,113,Kyrgyzstan,Former USSR,FALSE
KEN,114,Kenya,Eastern Africa,FALSE
KHM,115,Cambodia,South East Asia,FALSE
PRK,116,Democratic People's Republic of Korea,East Asia,FALSE
KOR,117,Republic of Korea,East Asia,FALSE
KWT,118,Kuwait,Middle East,FALSE
LVA,119,Latvia,Former USSR,TRUE
LAO,120,Lao People's Democratic Republic,South East Asia,FALSE
LBN,121,Lebanon,Middle East,FALSE
LSO,122,Lesotho,Southern Africa,FALSE
LBR,123,Liberia,Western Africa,FALSE
LBY,124,Libya,Northern Africa,FALSE
LTU,126,Lithuania,Former USSR,TRUE
MAC,128,"China, Macao SAR",East Asia,FALSE
MDG,129,Madagascar,Eastern Africa,FALSE
MWI,130,Malawi,Southern Africa,FALSE
MYS,131,Malaysia,South East Asia,FALSE
MDV,132,Maldives,South Asia,FALSE
MLI,133,Mali,Western Africa,FALSE
MLT,134,Malta,OECD Europe,TRUE
MRT,136,Mauritania,Western Africa,FALSE
MUS,137,Mauritius,Eastern Africa,FALSE
MEX,138,Mexico,Central America,FALSE
MNG,141,Mongolia,East Asia,FALSE
MAR,143,Morocco,Northern Africa,FALSE
MOZ,144,Mozambique,Southern Africa,FALSE
MDA,146,Republic of Moldova,Former USSR,FALSE
NAM,147,Namibia,Southern Africa,FALSE
NPL,149,Nepal,South Asia,FALSE
