area_code,area,proc_code,proc
1,Armenia,p001,Rice production
1,Armenia,p002,Wheat production
1,Armenia,p003,Barley production
1,Armenia,p004,Maize production
1,Armenia,p005,Rye production
1,Armenia,p006,Oat production
1,Armenia,p007,Millet production
1,Armenia,p008,Sorghum production
1,Armenia,p009,"Cereals production, Other"
1,Armenia,p010,Potatoes  production
1,Armenia,p011,Cassava production
1,Armenia,p012,Sweet potatoes production
1,Armenia,p013,"Roots production, Other"
1,Armenia,p014,Yams production
1,Armenia,p015,Sugar cane production
1,Armenia,p016,Sugar beet production
1,Armenia,p017,Beans production
1,Armenia,p018,Peas production
1,Armenia,p019,"Pulses  production, Other"
1,Armenia,p020,Nuts production
1,Armenia,p021,Soyabeans production
1,Armenia,p022,Groundnuts production
1,Armenia,p023,Sunflower seed production
1,Armenia,p024,Rape and Mustardseed production
1,Armenia,p025,Seed cotton production
1,Armenia,p026,Coconuts production
1,Armenia,p027,Sesame seed production
1,Armenia,p028,Oil palm fruit production
1,Armenia,p029,Olives production
1,Armenia,p030,"Oilcrops production, Other"
1,Armenia,p031,Tomatoes production
1,Armenia,p032,Onions production
1,Armenia,p033,"Vegetables production, Other"
1,Armenia,p034,"Oranges, Mandarines production"
1,Armenia,p035,"Lemons, Limes production"
1,Armenia,p036,Grapefruit production
1,Armenia,p037,"Citrus production, Other"
1,Armenia,p038,Bananas production
1,Armenia,p039,Plantains production
1,Armenia,p040,Apples production
1,Armenia,p041,Pineapples production
1,Armenia,p042,Dates production
1,Armenia,p043,Grapes production
1,Armenia,p044,"Fruits production, Other"
1,Armenia,p045,Coffee production
1,Armenia,p046,Cocoa Beans production
1,Armenia,p047,Tea production
1,Armenia,p048,Hops production
1,Armenia,p049,Pepper production
1,Armenia,p050,Pimento production
1,Armenia,p051,Cloves production
1,Armenia,p052,"Spices production, Other"
1,Armenia,p053,Jute production
1,Armenia,p054,Jute-Like Fibres production
1,Armenia,p055,"Soft-Fibres production, Other"
1,Armenia,p056,Sisal production
1,Armenia,p057,Abaca production
1,Armenia,p058,"Hard Fibres production, Other"
1,Armenia,p059,Tobacco production
1,Armenia,p060,Rubber production
1,Armenia,p061,Fodder crops production
1,Armenia,p062,Grazing production
1,Armenia,p063,Cotton production
1,Armenia,p064,"Sugar production, non-centrifugal"
1,Armenia,p065,Sugar production
1,Armenia,p066,"Sweeteners production, Other"
1,Armenia,p067,Soyabean Oil extraction
1,Armenia,p068,Groundnut Oil extraction
1,Armenia,p069,Sunflowerseed Oil extraction
1,Armenia,p070,Rape and Mustard Oil extraction
1,Armenia,p071,Cottonseed Oil extraction
1,Armenia,p072,Palmkernel Oil extraction
1,Armenia,p073,Palm Oil production
1,Armenia,p074,Coconut Oil extraction
1,Armenia,p075,Sesameseed Oil extraction
1,Armenia,p076,Olive Oil extraction
1,Armenia,p077,Ricebran Oil extraction
1,Armenia,p078,Maize Germ Oil extraction
1,Armenia,p079,"Oilcrops Oil extraction, Other"
1,Armenia,p080,Wine production
1,Armenia,p081,Beer production
1,Armenia,p082,"Beverages production, Fermented"
1,Armenia,p083,"Beverages production, Alcoholic"
1,Armenia,p084,"Alcohol production, Non-Food"
1,Armenia,p085,Cattle husbandry
1,Armenia,p086,Buffaloes husbandry
1,Armenia,p087,Sheep husbandry
1,Armenia,p088,Goats husbandry
1,Armenia,p089,Pigs farming
1,Armenia,p090,Poultry Birds farming
1,Armenia,p091,Horses husbandry
1,Armenia,p092,Asses husbandry
1,Armenia,p093,Mules husbandry
1,Armenia,p094,Camels husbandry
1,Armenia,p095,"Camelids husbandry, other"
1,Armenia,p096,Rabbits husbandry
1,Armenia,p097,"Rodents husbandry, other"
1,Armenia,p099,Dairy cattle husbandry
1,Armenia,p100,Dairy buffaloes husbandry
1,Armenia,p101,Dairy sheep husbandry
1,Armenia,p102,Dairy goats husbandry
1,Armenia,p103,Dairy camels husbandry
1,Armenia,p104,Cattle slaughtering
